index,strategy,market_id,entry_date,exit_date,entry_price,exit_price,outcome,pnl,roi,holding_days,roi_raw,roi_adj,daily_return,cumulative,peak,drawdown
367,Time Horizon,market_143,2024-10-05 00:00:00,2024-10-06 18:00:00,0.877168420159902,0.9064521227391285,YES,0.1228315798400979,0.1400319220540413,1.75,0.14003192205404125,-0.007140520959285086,-0.004086562323280529,0.9928594790407149,0.9928594790407149,0.0
763,Expert Fade,market_143,2024-10-05 00:00:00,2024-10-06 18:00:00,0.877168420159902,0.9064521227391285,YES,-0.1228315798400979,-0.1400319220540413,1.75,-0.14003192205404125,-0.007140520959285086,-0.004086562323280529,0.9857699451209998,0.9928594790407149,-0.007140520959285108
292,Trend Filter,market_472,2024-10-06 12:00:00,2024-11-03 18:00:00,0.7130519375268813,0.069190343975025,NO,-0.7130519375268813,-1.0,28.25,-1.0,-0.9067711709990706,-0.0805589240362139,0.09190217764794129,0.9928594790407149,-0.9074368734065613
1187,Expert Fade,market_92,2024-10-08 00:00:00,2024-10-19 18:00:00,0.0190178426617009,0.0726515897866058,NO,-0.0190178426617009,-1.0,11.75,-1.0,2.670369403926226,0.11701860424137633,0.33731494099319637,0.9928594790407149,-0.6602591322196927
1223,News Mean Reversion,market_11,2024-10-08 00:00:00,2024-10-09 00:00:00,0.3743244523916536,0.4423623280781881,loss,-0.0680378756865345,-0.1817617717779945,1.0,-0.18176177177799446,0.13541817288473987,0.1354181728847399,0.3829935139892189,0.9928594790407149,-0.6142520446506075
403,Time Horizon,market_283,2024-10-08 00:00:00,2024-10-10 12:00:00,0.5101771199136204,0.9381780524727524,YES,0.4898228800863796,0.9601035816136032,2.5,0.9601035816136031,0.7668114094375046,0.25567161817175754,0.6766773102567144,0.9928594790407149,-0.31845611132150414
714,NO-Side Bias,market_92,2024-10-08 00:00:00,2024-10-19 18:00:00,0.0190178426617009,0.0726515897866058,NO,-0.0190178426617009,-1.0,11.75,-1.0,2.670369403926226,0.11701860424137633,2.4836556958973386,2.4836556958973386,0.0
9,Trend Filter,market_11,2024-10-08 00:00:00,2024-10-14 18:00:00,0.3743244523916536,0.9369371641038016,YES,0.6256755476083464,1.67147923041294,6.75,1.6714792304129402,1.4048509908070594,0.13882634921931758,5.972821861102311,5.972821861102311,0.0
1618,Whale Copy,market_11,2024-10-08 18:00:00,2024-10-14 18:00:00,0.360162376184888,0.9369371641038016,YES,-0.639837623815112,-1.7765254399772556,6.0,-1.7765254399772556,1.499413014076924,0.16494745732197447,14.928548690402272,14.928548690402272,0.0
350,Trend Filter,market_92,2024-10-09 00:00:00,2024-10-19 18:00:00,0.0962872844260551,0.0726515897866058,NO,-0.0962872844260551,-1.0,10.75,-1.0,-0.27505995988706583,-0.02947920488089384,10.822302686448115,14.928548690402272,-0.2750599598870657
1518,News Mean Reversion,market_444,2024-10-09 00:00:00,2024-10-10 00:00:00,0.465303148085696,0.560719986440182,profit,0.0954168383544858,0.205063814304804,1.0,0.20506381430480383,0.15780640982226268,0.15780640982226268,12.53013141940632,14.928548690402272,-0.1606597748204365
140,Trend Filter,market_283,2024-10-09 00:00:00,2024-10-10 12:00:00,0.707802679360947,0.9381780524727524,YES,0.292197320639053,0.4128231344120778,1.5,0.4128231344120778,0.2735000623495582,0.17489569831478424,15.957123143862107,15.957123143862107,0.0
