Month,Decay_Factor,Gross_Edge_Pct,Remaining_Edge_Pct,Lost_Alpha_Pct,Cumulative_Loss
0,1.000,2.40,2.40,0.00,0.00
1,0.985,2.36,2.33,0.03,0.03
2,0.970,2.33,2.26,0.07,0.10
3,0.956,2.29,2.19,0.10,0.20
4,0.941,2.26,2.13,0.13,0.33
5,0.927,2.23,2.06,0.16,0.50
6,0.913,2.19,2.00,0.19,0.69
7,0.900,2.16,1.94,0.22,0.91
8,0.886,2.13,1.88,0.24,1.15
9,0.873,2.10,1.83,0.27,1.42
10,0.860,2.06,1.77,0.29,1.71
11,0.847,2.03,1.72,0.31,2.02
12,0.835,2.00,1.67,0.33,2.35
13,0.822,1.97,1.62,0.35,2.70
14,0.810,1.94,1.57,0.37,3.07
15,0.798,1.92,1.53,0.39,3.46
16,0.786,1.89,1.48,0.40,3.86
17,0.775,1.86,1.44,0.42,4.28
18,0.763,1.83,1.40,0.43,4.71
19,0.752,1.81,1.36,0.45,5.16
20,0.741,1.78,1.32,0.46,5.62
21,0.730,1.75,1.28,0.47,6.09
22,0.719,1.73,1.24,0.49,6.58
23,0.709,1.70,1.21,0.50,7.08
24,0.698,1.68,1.17,0.51,7.59
