"UNIT_NAME","UNIT_ORDER","FIELD","UNIT_ACRES","OPERATOR_NAME","FORMATION","LUW_CODE","DISSOLVED_","TERMINATED"
"HA RA SU 79","361-L-51","Elm Grove","640.0","JW Operating Company","Haynesville",,,
"HA RA SUOO","191-H-27","Caspiana","640.0","JW Operating Company","Haynesville",,,
"HA RA SUSS","88-J-10","Holly","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUP","109-X-39","Red River_Bull Bayou","640.0","EOG Resources, Inc.","Haynesville",,,
"HA RA SUD","196-D-1","Bellevue","640.0","Diamond Oil, L.L.C.","Haynesville",,,
"HA RD SUS","109-X-26","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUC","1145-B-2","Thorn Lake","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUU","122-Y-5","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,"Y",
"HA RA SUA","289-R","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU68","191-H-22","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","1243-C","King Hill","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUGG","122-Y-6","Caddo_Pine Island","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUI","376-D-1","Kingston","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUY","855-E-15","North Grand Cane","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUG","967-C-4","Cedar Grove","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUR","498-B-4","Pleasant Hill","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SULL","109-X-40","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUP","88-J-5","Holly","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUI","289-R-3","Bethany_Longstreet","640.0","Goodrich Petroleum Company, L.L.C.","Haynesville",,,
"HA RD SUF","109-X","Red River_Bull Bayou","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","999-D","Jamestown","640.0","JW Operating Company","Haynesville",,,
"HA RA SUPP","994-D-24","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RB SUCC","109-X-18","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU56","289-R-37","Bethany_Longstreet","640.0","El Paso E&P Company, L.P.","Haynesville",,,
"HA RA SUZ","361-L-10","Elm Grove","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RA SUY","1199-E-5","Trenton","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUII","496-L-8","Benson","640.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RB SUU","109-X-20","Red River_Bull Bayou","672.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUSS","994-D-24","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUV","917-L-5","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUB","628-B","Zwolle","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUN","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,,
"HA RA SU127","191-H-65","Caspiana","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUF","148-M-3","Sibley","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUE","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SU65","191-H-30","Caspiana","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUXX","289-R-29","Bethany_Longstreet","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","956-C","Haughton","640.0","Samson Contour Energy E&P, L.L.C.","Haynesville",,,
"HA RA SUJ","92-N-3","Spider","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SU59","270-MM-31","Greenwood_Waskom","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUE","122-Y-3","Caddo_Pine Island","640.0","Matador Production Company","Haynesville",,"Y",
"HA RA SUR","917-L-5","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RB SU53","109-X-56","Red River_Bull Bayou","607.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUAA","917-L-6","Bracky Branch","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUN","990-D-2","Woodardville","640.0","Forest Oil Corporation","Haynesville",,,
"HA RA SUJJ","361-L-19","Elm Grove","640.0","Questar Exploration & Production Company","Haynesville",,,
"HA RB SUA","191-H-6","Caspiana","640.0","Matador Production Company","Haynesville",,,
"HA RD SUY","109-X-64","Red River_Bull Bayou","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RC SUA","109-X-1","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SU75","361-L-44","Elm Grove","640.0","Petrohawk Operating Company","Haynesville",,,
"HA RA SUB","1407-C","Liberty","640.0","Encana Oil and Gas USA Inc.","Haynesville",,,
"HA RA SUG","376-D","Kingston","640.0","EXCO Production Company, L.P.","Haynesville",,,
"HA RA SUQ","1513-B","Bayou San Miguel","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUU","496-L-5","Benson","990.0","Comstock Oil and Gas Louisiana, L.L.C.","Haynesville",,,
"HA RB SUH","289-R-33","Bethany_Longstreet","640.0","Nelson Energy, Inc.","Haynesville",,,
"HA RA SUO","498-B-1","Pleasant Hill","640.0","SWEPI, L.P.","Haynesville",,,
"HA RA SUHH","994-D-16","Johnson Branch","640.0","Chesapeake Operating Inc.","Haynesville",,,
"HA RA SUB","28-AA-1","Logansport","640.0","Indigo Minerals, L.L.C.","Haynesville",,,
"HA RC SUE","109-X-1","Red River_Bull Bayou","640.0","SWEPI, L.P.","Haynesville",,,
