event_id,event_title,event_category,market_id,market_ticker,market_title,yes_price,no_price,volume,status,close_date,previous_day_price,previous_week_price,created_time,prev_week_change
,Will Elon Musk visit Mars in his lifetime?,World,f1a31d77-f7db-4a72-a5be-b92791aab1c2,,"Will Elon Musk visit Mars before Aug 1, 2099?",,,88986,active,2099-08-01T04:59:00Z,8.0,10.0,,
,Who will the next Pope be?,World,0f8946ef-4cc3-4e5e-b15d-4582c735639c,,Who will the next Pope be?,,,6530,active,2070-01-01T15:00:00Z,7.0,7.0,,
,Who will the next Pope be?,World,ae3aa6f5-f7d6-49cb-934c-81ad4eeb64d5,,Who will the next Pope be?,,,18300,active,2070-01-01T15:00:00Z,6.0,9.0,,
,Who will the next Pope be?,World,e834e672-783f-4ca7-a842-3113eaf0223a,,Who will the next Pope be?,,,5896,active,2070-01-01T15:00:00Z,6.0,5.0,,
,Who will the next Pope be?,World,ee6b9575-041f-4823-87be-6469eecd9bee,,Who will the next Pope be?,,,10516,active,2070-01-01T15:00:00Z,5.0,5.0,,
,Who will the next Pope be?,World,ed01601e-f872-47c8-87c1-00ba8f033ba7,,Who will the next Pope be?,,,7140,active,2070-01-01T15:00:00Z,8.0,7.0,,
,Who will the next Pope be?,World,4a39d894-652a-4cd5-96dd-c76a80506085,,Who will the next Pope be?,,,10458,active,2070-01-01T15:00:00Z,5.0,5.0,,
,Who will the next Pope be?,World,dc8b8b62-23e1-485d-843e-e8b254202a5f,,Who will the next Pope be?,,,5188,active,2070-01-01T15:00:00Z,6.0,5.0,,
,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Climate and Weather,f024d522-e659-47aa-8e72-9eb838402267,,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,,,13276,active,2050-01-01T04:59:00Z,81.0,81.0,,
,Will a human land on Mars before California starts high-speed rail?,Science and Technology,95735234-18dc-4abd-85af-a564a3aa1d85,,Will a human land on Mars before California starts high-speed rail?,,,12286,active,2050-01-01T04:59:00Z,23.0,25.0,,
,Will a supervolcano erupt before 2050?,Climate and Weather,719d5043-81d6-4a6f-88bb-cfb324ff17e4,,When will a supervolcano next erupt?,,,24982,active,2050-01-01T04:59:00Z,13.0,18.0,,
,Will humans colonize Mars before 2050?,Science and Technology,ed6ac11f-b098-4419-bd30-7f3f8015d886,,Will humans colonize Mars before 2050?,,,21582,active,2050-01-01T04:59:00Z,16.0,17.0,,
,Will Zohran Mamdani become President of the United States before 2045?,Politics,18c9de0e-f42a-49cc-9a16-cc165c0393e2,,Will  become President of the United States before 2045?,,,29006,active,2045-01-29T15:00:00Z,7.0,5.0,,
,Who will be named as Xi Jinping's successor?,Politics,c83a3b3f-d2b1-4cb6-a264-7eab07d92ef0,,"Will Ding Xuexiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",,,2572,active,2045-01-01T04:59:00Z,29.0,24.0,,
