ticker,title,name,category,yes_bid,yes_ask,no_bid,no_ask,last_price,daily_change_pct,weekly_change_pct,volume_cents,volume_dollars,open_interest,close_date,days_to_resolution,expected_value_yes_pct,expected_value_no_pct,is_dip_candidate
KXELONMARS-99,"Will Elon Musk visit Mars before Aug 1, 2099?",Mars,World,7,8,93,92,8,0,14.29,88546,885.46,30838,2099-08-01T04:59:00Z,26830,1127.0,8.521739130434783,False
KXNEWPOPE-70-PPIZ,Who will the next Pope be?,Pierbattista Pizzaballa,World,4,7,96,93,7,0,0,6530,65.3,2400,2070-01-01T15:00:00Z,16027,1302.0000000000002,7.376344086021505,False
KXNEWPOPE-70-PPAR,Who will the next Pope be?,Pietro Parolin,World,6,9,94,91,6,0,-33.33,18236,182.36,7680,2070-01-01T15:00:00Z,16027,990.8888888888889,9.692307692307692,False
KXNEWPOPE-70-FAMB,Who will the next Pope be?,Fridolin Ambongo,World,3,5,97,95,6,0,20,5894,58.94,1252,2070-01-01T15:00:00Z,16027,1862.0,5.157894736842105,False
KXNEWPOPE-70-LANT,Who will the next Pope be?,Luis Antonio Tagle,World,5,8,95,92,5,-44.44,0,10462,104.62,4074,2070-01-01T15:00:00Z,16027,1127.0,8.521739130434783,True
KXNEWPOPE-70-MZUP,Who will the next Pope be?,Matteo Zuppi,World,4,8,96,92,8,0,14.29,7032,70.32000000000001,3152,2070-01-01T15:00:00Z,16027,1127.0,8.521739130434783,False
KXNEWPOPE-70-PERD,Who will the next Pope be?,Peter Erdo,World,3,6,97,94,6,20,20,10458,104.58,2432,2070-01-01T15:00:00Z,16027,1535.3333333333333,6.25531914893617,False
KXNEWPOPE-70-AARB,Who will the next Pope be?,Anders Arborelius,World,3,6,97,94,3,-50,-40,5184,51.84,1798,2070-01-01T15:00:00Z,16027,1535.3333333333333,6.25531914893617,True
KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,Before 2050,Climate and Weather,78,81,22,19,78,0,-3.7,12658,126.58,8894,2050-01-01T04:59:00Z,8721,22.98765432098765,417.7894736842106,False
KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,Before 2050,Science and Technology,23,29,77,71,29,-3.33,7.41,12224,122.24000000000001,7232,2050-01-01T04:59:00Z,8721,239.93103448275858,40.02816901408451,False
