Time Bucket,Market,Entry Date,Exit Date,Days Held,Win,P&L,P&L %,Volume
<3d,Michigan Senate Election Winner,2024-11-04,2024-11-05,1,Yes,9.08,9.1,394971.30
<3d,Michigan Senate Election Winner,2024-11-03,2024-11-05,2,Yes,8.25,8.3,394971.30
3-7d,Michigan Senate Election Winner,2024-10-31,2024-11-05,5,No,-8.69,-8.7,394971.30
7-30d,Michigan Senate Election Winner,2024-10-26,2024-11-05,10,No,-8.89,-8.9,394971.30
7-30d,Michigan Senate Election Winner,2024-10-16,2024-11-05,20,No,-8.75,-8.8,394971.30
>30d,Michigan Senate Election Winner,2024-10-06,2024-11-05,30,No,-9.39,-9.4,394971.30
>30d,Michigan Senate Election Winner,2024-09-06,2024-11-05,60,No,-9.54,-9.5,394971.30
>30d,Michigan Senate Election Winner,2024-08-07,2024-11-05,90,No,-9.90,-9.9,394971.30
<3d,Michigan Senate Election Winner,2024-11-04,2024-11-05,1,Yes,8.61,8.6,684107.75
<3d,Michigan Senate Election Winner,2024-11-03,2024-11-05,2,No,-9.48,-9.5,684107.75
3-7d,Michigan Senate Election Winner,2024-10-31,2024-11-05,5,Yes,9.62,9.6,684107.75
7-30d,Michigan Senate Election Winner,2024-10-26,2024-11-05,10,No,-9.66,-9.7,684107.75
7-30d,Michigan Senate Election Winner,2024-10-16,2024-11-05,20,Yes,8.83,8.8,684107.75
>30d,Michigan Senate Election Winner,2024-10-06,2024-11-05,30,No,-10.15,-10.2,684107.75
>30d,Michigan Senate Election Winner,2024-09-06,2024-11-05,60,Yes,7.87,7.9,684107.75
>30d,Michigan Senate Election Winner,2024-08-07,2024-11-05,90,Yes,9.08,9.1,684107.75
<3d,Michigan Senate Election Winner,2024-11-04,2024-11-05,1,No,-8.45,-8.4,676897.32
<3d,Michigan Senate Election Winner,2024-11-03,2024-11-05,2,No,-8.48,-8.5,676897.32
3-7d,Michigan Senate Election Winner,2024-10-31,2024-11-05,5,No,-8.28,-8.3,676897.32
