Month,MUSK_HYPE_FADE,WILL_PREDICTION_FADE,BTC_TIME_BIAS,BLENDED_PORTFOLIO
Jan 2024,2.8,1.9,0.8,1.9
Feb 2024,4.2,2.4,1.2,2.5
Mar 2024,1.5,1.1,-0.3,0.9
Apr 2024,3.7,2.8,1.5,2.7
May 2024,2.3,1.9,0.9,1.8
Jun 2024,1.1,0.8,-0.5,0.6
Jul 2024,1.9,1.5,1.1,1.6
Aug 2024,2.1,1.7,0.7,1.6
Sep 2024,0.9,1.1,-0.2,0.7
Oct 2024,4.5,3.2,1.8,3.2
Nov 2024,1.7,1.4,0.6,1.3
Dec 2024,3.3,2.5,1.4,2.5
Jan 2025,3.1,2.8,1.2,2.5
Feb 2025,5.8,3.1,1.5,3.4
Mar 2025,2.2,2.1,0.8,1.8
Apr 2025,3.9,2.9,1.1,2.6
May 2025,2.7,2.0,0.7,1.8
Jun 2025,1.8,1.3,-0.8,0.9
Jul 2025,2.4,1.8,1.0,1.7
Aug 2025,1.8,1.6,-1.2,1.0
Sep 2025,1.2,1.0,0.5,0.9
Oct 2025,2.9,2.3,1.3,2.2
Nov 2025,1.4,1.2,0.4,1.0
Dec 2025,2.6,2.0,1.0,1.9
Jan 2026,2.2,1.8,0.9,1.7
Feb 2026,0.8,0.7,0.3,0.6
